scene	item	shown	exact	source	how_read
1	caption 1	167 m across	167.37 m	runs/r48-s1/2026-09-24-115115-e5a30c15/config.json	world area 22,000 m2 as a disc: r = sqrt(22000/pi) = 83.68 m; 2r = 167.37
1	caption 2	at 12 m, about 14%	13.53%	runs/r48-s1/2026-09-24-115115-e5a30c15/config.json	light.surfaceIrradiance 200, light.attenuationDepth 6; LightModel.IrradianceAt = I0 exp(-d/6); exp(-12/6) = 0.1353
1	chart	light by depth, % of surface	[[0, 100.0], [3, 60.7], [6, 36.8], [9, 22.3], [12, 13.5], [15, 8.2], [18, 5.0], [24, 1.8], [30, 0.7]]	runs/r48-s1/2026-09-24-115115-e5a30c15/config.json	100 x exp(-d/6) at d = 0..30 m; open water, no reef cap (ReefGeometry.CapTransmission = 0 under a cap) and no crowd shade
2	caption 1	a recipe can change; what breeds more spreads	rule	src/Evosim.Core (Mutator, World.Conceive)	a child is conceived from a mutated copy of the parent genome; nothing else selects
2	caption 2	two parts: a leaf and a tiny stomach	parts 2; absVolume/volume 0.00242	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl	row id 201 t 2500: parts 2, photoArea 0.305, absVolume 0.000199, volume 0.0821; snapshot 2500 genome nodes [photosynthetic, absorptive]
2	caption 3	a leaf earns energy from light	rule	StandardCellTypes.cs Fixation.Fix	a leaf fixes light x lit area x efficiency 0.05, capped by what dissolved matter it can take up
2	caption 4	a stomach eats snow	rule	StandardCellTypes.cs AbsorptiveCell; World.Metabolise	food = clearance 10 x stomach volume x snow density at the body (3318 at 3,500 s: 10 x 0.0899 x 1.393 = 1.252 W, its foodW 1.252)
2	caption 5	upkeep; saves the rest	rule	Metabolism.cs Bill; World.Metabolise	net = light + food - upkeep - leak; the net goes to the reserve (Organism.Energy)
2	caption 6	earns 0.54 J a second	0.5410 W	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl	id 201 t 2500: lightW 0.53922 + foodW 0.00182
2	caption 6	spends 0.49 J	0.4898 W	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl	id 201 t 2500: upkeepW 0.40896 + exudedW 0.08088; netW 0.05119
2	chart	account: body 201 reserve, live	44.64 J at 2,500 s (the run)	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl	drawn live from the cousin; the run read energy 44.636 at t 2500
3	caption 2	born small (bf 0.405), savings into growing	rule + reading	World.cs Grow (before Reproduce in Step); config growth.growthReserveFloor 0.1	a body below adult size spends all reserve above 10% of its tissue on growth each step; 201: tissue 25.5 J at 530 s, 41.03 J (adult) at 550 s, reserve 2.5 -> 15.6 J
3	caption 3	saved for its children's price plus a cushion	rule	World.cs Conceive / IsSolvent	a lump breeder conceives when reserve >= price of the litter + ReserveMargin x StandingWatts
